P,Qr.Qc,Qi
-40,255882.55456804603,776425.6020773622,381666.35294083523
-35,263019.66756142204,771020.49869657,399199.258782832
-30,273128.2974446442,770542.238254667,423102.1135052232
-25,275687.5108204811,767400.9334193566,430256.4123987369
-20,276979.36197937676,771107.5042223075,432237.80691284826
-15,274447.532389128,756991.2165194522,430540.0282845646
-10,271161.4453110546,768905.4260528666,418885.0387005656
